League;Date;Get;Pay;Value;Confidence
Delve;2018-08-31;Blacksmith's Whetstone;Chaos Orb;1;High
Delve;2018-09-01;Blacksmith's Whetstone;Chaos Orb;0.05509;High
Delve;2018-09-02;Blacksmith's Whetstone;Chaos Orb;0.04762;High
Delve;2018-09-03;Blacksmith's Whetstone;Chaos Orb;0.04;High
Delve;2018-09-04;Blacksmith's Whetstone;Chaos Orb;0.04195;High
Delve;2018-09-05;Blacksmith's Whetstone;Chaos Orb;0.04099;High
Delve;2018-09-06;Blacksmith's Whetstone;Chaos Orb;0.04435;High
Delve;2018-09-07;Blacksmith's Whetstone;Chaos Orb;0.0431;High
Delve;2018-09-08;Blacksmith's Whetstone;Chaos Orb;0.04196;High
Delve;2018-09-09;Blacksmith's Whetstone;Chaos Orb;0.03798;High
Delve;2018-09-10;Blacksmith's Whetstone;Chaos Orb;0.03661;High
Delve;2018-09-11;Blacksmith's Whetstone;Chaos Orb;0.03846;High
Delve;2018-09-12;Blacksmith's Whetstone;Chaos Orb;0.03378;High
Delve;2018-09-13;Blacksmith's Whetstone;Chaos Orb;0.03846;High
Delve;2018-09-14;Blacksmith's Whetstone;Chaos Orb;0.03704;High
Delve;2018-09-15;Blacksmith's Whetstone;Chaos Orb;0.03965;High
Delve;2018-09-16;Blacksmith's Whetstone;Chaos Orb;0.03991;High
Delve;2018-09-17;Blacksmith's Whetstone;Chaos Orb;0.03846;High
Delve;2018-09-18;Blacksmith's Whetstone;Chaos Orb;0.03583;High
Delve;2018-09-19;Blacksmith's Whetstone;Chaos Orb;0.03826;High
Delve;2018-09-20;Blacksmith's Whetstone;Chaos Orb;0.03693;High
Delve;2018-09-21;Blacksmith's Whetstone;Chaos Orb;0.03709;High
Delve;2018-09-22;Blacksmith's Whetstone;Chaos Orb;0.03448;High
Delve;2018-09-23;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-09-24;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-09-25;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-09-26;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-09-27;Blacksmith's Whetstone;Chaos Orb;0.03322;High
Delve;2018-09-28;Blacksmith's Whetstone;Chaos Orb;0.03321;High
Delve;2018-09-29;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-09-30;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-10-01;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-10-02;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-10-03;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-10-04;Blacksmith's Whetstone;Chaos Orb;0.03325;High
Delve;2018-10-05;Blacksmith's Whetstone;Chaos Orb;0.03333;High
